saved_as,url,alt,w,h,kind,page,bytes,error
000_9306d0_logo.svg,https://eslclub.jp/assets/img/index_lp/logo.svg,ESL club,208,38,img,top,24162,
001_e381a0_logo_s.svg,https://eslclub.jp/assets/img/index_lp/logo_s.svg,ESL club,92,38,img,top,1758,
002_63d424_slide02.png,https://eslclub.jp/assets/img/story/slide02.png,,640,360,img,top,121189,
003_77fe91_slide01.png,https://eslclub.jp/assets/img/story/slide01.png,,640,360,img,top,424029,
004_3795b7_sec01_photo02.jpg,https://eslclub.jp/assets/img/story/sec01_photo02.jpg,,846,572,img,top,0,"APIRequestContext.get: Timeout 30000ms exceeded.
Call log:
  - → GET https://eslclub.jp/assets/img/s"
005_3f44ca_point01_photo2.jpg,https://eslclub.jp/assets/img/story/point01_photo2.jpg,,1209,659,img,top,1134087,
006_7d6503_point01_photo.jpg,https://eslclub.jp/assets/img/story/point01_photo.jpg,,886,659,img,top,55084,
007_60c322_point03_photo2.jpg,https://eslclub.jp/assets/img/story/point03_photo2.jpg,,1209,866,img,top,300646,
008_419020_why_photo01.jpg,https://eslclub.jp/assets/img/story/why_photo01.jpg,,845,549,img,top,53044,
009_0f58c1_why_photo02.jpg,https://eslclub.jp/assets/img/story/why_photo02.jpg,,563,367,img,top,89273,
010_f46386_pc_bnr_autumn2025.webp,https://eslclub.jp/assets/img/index_lp/pc_bnr_autumn2025.webp,英検®︎駆け込み歓迎！短期集中講座,1920,221,img,top,58514,
011_2ef6cf_sp_bnr_autumn2025.webp,https://eslclub.jp/assets/img/index_lp/sp_bnr_autumn2025.webp,"1級〜5級対応 英検合格実績累計 1,000名以上 詳しくはこちら",780,390,img,top,44164,
012_1e5812_pc_bnr_spring2026.webp,https://eslclub.jp/assets/img/index_lp/pc_bnr_spring2026.webp,新生活のスタートダッシュに,1920,221,img,top,50098,
013_64b906_sp_bnr_spring2026.webp,https://eslclub.jp/assets/img/index_lp/sp_bnr_spring2026.webp,春季講習開講中,780,390,img,top,47550,
014_145bf7_performance01_photo.jpg,https://eslclub.jp/assets/img/story/performance01_photo.jpg,,480,230,img,top,27441,
015_733cc3_performance01_step.png,https://eslclub.jp/assets/img/story/performance01_step.png,,814,360,img,top,22446,
016_03e952_performance02_photo.jpg,https://eslclub.jp/assets/img/story/performance02_photo.jpg,,480,230,img,top,34372,
017_a94eaf_performance02_step.png,https://eslclub.jp/assets/img/story/performance02_step.png,,816,360,img,top,21322,
018_da25e4_performance03_photo.jpg,https://eslclub.jp/assets/img/story/performance03_photo.jpg,,480,230,img,top,40115,
019_ee193b_performance03_step.png,https://eslclub.jp/assets/img/story/performance03_step.png,,816,360,img,top,21004,
020_3015bb_performance05_photo.jpg,https://eslclub.jp/assets/img/story/performance05_photo.jpg,,480,230,img,top,45664,
021_183b5d_performance05_step.png,https://eslclub.jp/assets/img/story/performance05_step.png,,813,361,img,top,21121,
022_23fa82_performance06_photo.jpg,https://eslclub.jp/assets/img/story/performance06_photo.jpg,,480,230,img,top,30761,
023_1ef5d6_performance06_step.png,https://eslclub.jp/assets/img/story/performance06_step.png,,813,361,img,top,21547,
024_25f8d8_performance07_photo.jpg,https://eslclub.jp/assets/img/story/performance07_photo.jpg,,480,230,img,top,42000,
025_1292a3_performance07_step.png,https://eslclub.jp/assets/img/story/performance07_step.png,,813,361,img,top,20620,
026_8fa52f_performance13_photo.jpg,https://eslclub.jp/assets/img/story/performance13_photo.jpg,,480,230,img,top,48276,
027_c46573_performance13_step.png,https://eslclub.jp/assets/img/story/performance13_step.png,,813,361,img,top,22983,
028_88bc35_performance08_photo.jpg,https://eslclub.jp/assets/img/story/performance08_photo.jpg,,480,230,img,top,30588,
029_8da3c5_performance08_step.png,https://eslclub.jp/assets/img/story/performance08_step.png,,813,361,img,top,18932,
030_a0a7b2_performance09_photo.jpg,https://eslclub.jp/assets/img/story/performance09_photo.jpg,,480,230,img,top,31619,
031_54ec2e_performance09_step.png,https://eslclub.jp/assets/img/story/performance09_step.png,,813,361,img,top,21036,
032_b07863_performance10_photo.jpg,https://eslclub.jp/assets/img/story/performance10_photo.jpg,,480,230,img,top,47120,
033_bfe378_performance10_step.png,https://eslclub.jp/assets/img/story/performance10_step.png,,813,361,img,top,25330,
034_9fc1fe_performance12_photo.jpg,https://eslclub.jp/assets/img/story/performance12_photo.jpg?00,,480,230,img,top,61300,
035_868b36_performance12_step.png,https://eslclub.jp/assets/img/story/performance12_step.png,,813,361,img,top,23987,
036_34d037_dialogue_photo.jpg,https://eslclub.jp/assets/img/story/dialogue_photo.jpg,,420,226,img,top,31588,
037_76a2e0_i-online.svg,https://eslclub.jp/assets/img/story/i-online.svg,,39,26,img,top,1566,
038_7bc4bd_classroom.jpg,https://eslclub.jp/assets/img/index_lp/classroom.jpg?00,,750,452,img,top,115269,
039_603751_pc_head_teacher.jpg,https://eslclub.jp/assets/img/index_lp/pc_head_teacher.jpg,,430,430,img,top,39639,
040_a4198f_sp_head_teacher.jpg,https://eslclub.jp/assets/img/index_lp/sp_head_teacher.jpg,,430,430,img,top,41742,
041_44cbd7_classroom_on.jpg,https://eslclub.jp/assets/img/index_lp/classroom_on.jpg,,750,452,img,top,53800,
042_de42a2_pc_head_teacher_on02.jpg,https://eslclub.jp/assets/img/index_lp/pc_head_teacher_on02.jpg,,430,430,img,top,61738,
043_a2e396_sp_head_teacher_on02.jpg,https://eslclub.jp/assets/img/index_lp/sp_head_teacher_on02.jpg,,430,430,img,top,61366,
044_5d4c06_pc_head_teacher_on.jpg,https://eslclub.jp/assets/img/index_lp/pc_head_teacher_on.jpg,,430,430,img,top,14676,
045_71978a_sp_head_teacher_on.jpg,https://eslclub.jp/assets/img/index_lp/sp_head_teacher_on.jpg,,430,430,img,top,14661,
046_95391a_page_top.svg,https://eslclub.jp/assets/img/index_lp/page_top.svg,PAGE TOP,81,43,img,top,2017,
047_ea3ddf_0.img,"https://bat.bing.com/action/0?ti=343112657&Ver=2&mid=50a77522-caae-4239-8b69-4c446d98e8db&bo=1&sid=b5204f905d5a11f19a6293a34a9469f0&vid=b52037505d5a11f18a552707b1735ea5&vids=1&msclkid=N&pi=0&lg=ja-JP&sw=1440&sh=1000&sc=24&tl=ESL%20club%EF%BD%9C%E6%BA%962%E7%B4%9A%E3%83%97%E3%83%A9%E3%82%B9%E3%81%AE%E5%AF%BE%E7%AD%96%E3%82%82%E3%81%A7%E3%81%8D%E3%82%8B%E3%80%8C%E8%8B%B1%E8%AA%9E%E3%82%92%E6%95%99%E3%81%88%E3%81%AA%E3%81%84%E8%8B%B1%E8%AA%9E%E5%A1%BE%E3%80%8D&kw=esl%20club,esl%E3%82%AF%E3%83%A9%E3%83%96,%E8%8B%B1%E8%AA%9E%E3%82%92%E6%95%99%E3%81%88%E3%81%AA%E3%81%84%E8%8B%B1%E8%AA%9E%E5%A1%BE,%E6%B8%8B%E8%B0%B7,%E5%B0%8F%E5%AD%A6%E7%94%9F%E3%81%A7%E8%8B%B1%E6%A4%9C2%E7%B4%9A,%E8%8B%B1%E8%AA%9E%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB,%E8%8B%B1%E4%BC%9A%E8%A9%B1,%E5%80%8B%E5%88%A5,%E3%83%9E%E3%83%B3%E3%83%84%E3%83%BC%E3%83%9E%E3%83%B3&p=https%3A%2F%2Feslclub.jp%2F&r=&lt=3121&evt=pageLoad&sv=2&cdb=AQAQ&rn=296828",,0,0,img,top,0,
048_6d4989_thought_photo.jpg,https://eslclub.jp/assets/img/story/thought_photo.jpg,,1440,1113,background,top,85015,
049_0bc601_0.img,https://bat.bing.com/action/0?ti=343112657&Ver=2&mid=edc26dbe-c47c-4f60-a889-a114ef7a8596&bo=1&sid=b5204f905d5a11f19a6293a34a9469f0&vid=b52037505d5a11f18a552707b1735ea5&vids=0&msclkid=N&pi=0&lg=ja-JP&sw=1440&sh=1000&sc=24&tl=%E7%84%A1%E6%96%99%E4%BD%93%E9%A8%93%E3%83%AC%E3%83%83%E3%82%B9%E3%83%B3%20%7C%20ESL%20club&p=https%3A%2F%2Feslclub.jp%2Ftrial%2F&r=&lt=866&evt=pageLoad&sv=2&cdb=AQAQ&rn=756649,,0,0,img,trial,0,
050_a2541f_pc_kv.jpg,https://eslclub.jp/lp/online2/img/pc_kv.jpg,オンラインで伸ばす。ESL clubで、本気英語。将来の選択肢広がる、自然に話せる英語力。,2000,1000,img,online,118055,
051_ebb4a3_curriculum_illust01.png,https://eslclub.jp/lp/online2/img/curriculum_illust01.png,,566,338,img,online,9380,
052_cda78c_curriculum_illust02_bdr.png,https://eslclub.jp/lp/online2/img/curriculum_illust02_bdr.png,,10,131,img,online,232,
053_6ca753_curriculum_illust02.png,https://eslclub.jp/lp/online2/img/curriculum_illust02.png,,519,411,img,online,10964,
054_fe9ece_instructor01.jpg,https://eslclub.jp/lp/online2/img/instructor01.jpg,,670,670,img,online,31548,
055_1536ac_instructor02.jpg,https://eslclub.jp/lp/online2/img/instructor02.jpg,,670,670,img,online,20780,
056_fd7a5d_instructor03.jpg,https://eslclub.jp/lp/online2/img/instructor03.jpg,,670,670,img,online,66172,
057_7f4b77_achievements01_step.png,https://eslclub.jp/lp/online2/img/achievements01_step.png,,973,435,img,online,23474,
058_b901af_pc_achievements_photo01.jpg,https://eslclub.jp/lp/online2/img/pc_achievements_photo01.jpg,,960,600,img,online,172763,
059_2a4e70_achievements02_step.png,https://eslclub.jp/lp/online2/img/achievements02_step.png,,973,435,img,online,19592,
060_7e536f_pc_achievements_photo02.jpg,https://eslclub.jp/lp/online2/img/pc_achievements_photo02.jpg,,960,600,img,online,50437,
061_c0ee71_achievements03_step.png,https://eslclub.jp/lp/online2/img/achievements03_step.png,,973,435,img,online,28882,
062_175d73_pc_achievements_photo03.jpg,https://eslclub.jp/lp/online2/img/pc_achievements_photo03.jpg,,960,600,img,online,101525,
063_0b9712_0.img,https://bat.bing.com/action/0?ti=343112657&Ver=2&mid=96093e8a-66b3-476b-b0e3-1986d11187d0&bo=1&sid=b5204f905d5a11f19a6293a34a9469f0&vid=b52037505d5a11f18a552707b1735ea5&vids=0&msclkid=N&pi=0&lg=ja-JP&sw=1440&sh=1000&sc=24&tl=%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%E3%81%A7%E3%82%82%E8%8B%B1%E6%A4%9C2%E7%B4%9A%E3%83%AC%E3%83%99%E3%83%AB%E3%81%AE%E8%8B%B1%E8%AA%9E%E5%8A%9B%20ESL%20club&p=https%3A%2F%2Feslclub.jp%2Fonline%2F&r=&lt=538&evt=pageLoad&sv=2&cdb=AQAQ&rn=822146,,0,0,img,online,0,
064_05f545_logo2.svg,https://eslclub.jp/assets/img/examination/logo2.svg,ESL club,241,40,img,highschool,40786,
065_41412a_pc_kv_b.jpg,https://eslclub.jp/assets/img/examination/pc_kv_b.jpg,英語を最強の武器に！,2880,1640,img,highschool,250550,
066_b352e3_pc_campaign_w.png,https://eslclub.jp/assets/img/examination/pc_campaign_w.png?22080102,バイリンガル講師の個別レッスンが受けられる！,728,152,img,highschool,8939,
067_044e92_pc_problem.png,https://eslclub.jp/assets/img/examination/pc_problem.png?220803,共通テストに英語4技能試験、それに大学個別の英語試験。どう対策すればいいんだろう…？,1880,1115,img,highschool,79889,
068_158b2f_sp_problem.png,https://eslclub.jp/assets/img/examination/sp_problem.png?220803,英語をもっともっと得意にしたいのだけど、どう勉強していけばいいのかな…？留学経験を生かして推薦も利用したいのだけど、何から始めればいいのかな…？,792,905,img,highschool,57771,
069_fa6e44_pc_campaign.png,https://eslclub.jp/assets/img/examination/pc_campaign.png?22080102,バイリンガル講師の個別レッスンが受けられる！,728,152,img,highschool,8753,
070_ef0e45_pc_naze.png,https://eslclub.jp/assets/img/examination/pc_naze.png?220803,なぜ,354,242,img,highschool,5700,
071_601a01_pc_point01.png,https://eslclub.jp/assets/img/examination/pc_point01.png?220803,POINT 01,438,338,img,highschool,10506,
072_995f04_pc_instructor01.jpg,https://eslclub.jp/assets/img/examination/pc_instructor01.jpg?22080201,,468,400,img,highschool,21894,
073_e37314_pc_instructor02.jpg,https://eslclub.jp/assets/img/examination/pc_instructor02.jpg?22080201,,468,400,img,highschool,16888,
074_819b62_pc_instructor03.jpg,https://eslclub.jp/assets/img/examination/pc_instructor03.jpg?22080201,,468,400,img,highschool,35699,
075_350467_pc_point02.png,https://eslclub.jp/assets/img/examination/pc_point02.png?220803,POINT 02,466,338,img,highschool,11859,
076_d8797c_point02_photo.jpg,https://eslclub.jp/assets/img/examination/point02_photo.jpg,,886,660,img,highschool,74392,
077_c3a7ae_pc_point03.png,https://eslclub.jp/assets/img/examination/pc_point03.png?220803,POINT 03,470,338,img,highschool,12101,
078_d83fd2_point03_step_pc.png,https://eslclub.jp/assets/img/examination/point03_step_pc.png,,1715,400,img,highschool,51498,
079_bc1dfd_point03_step_sp.png,https://eslclub.jp/assets/img/examination/point03_step_sp.png,,750,960,img,highschool,45767,
080_3466be_classroom.jpg,https://eslclub.jp/assets/img/index_lp/classroom.jpg?01,,750,452,img,highschool,115269,
081_7176eb_pc_head_teacher.jpg,https://eslclub.jp/assets/img/index_lp/pc_head_teacher.jpg?220803,,430,430,img,highschool,39639,
082_4cc711_sp_head_teacher.jpg,https://eslclub.jp/assets/img/index_lp/sp_head_teacher.jpg?220803,,430,430,img,highschool,41742,
083_023ffe_i_step03.svg,https://eslclub.jp/assets/img/examination/i_step03.svg,,44,44,img,highschool,749,
084_836317_i_no01.svg,https://eslclub.jp/assets/img/examination/i_no01.svg,,47,36,img,highschool,1028,
085_6652e2_i_step02.svg,https://eslclub.jp/assets/img/examination/i_step02.svg,,52,44,img,highschool,966,
086_aba62f_i_no02.svg,https://eslclub.jp/assets/img/examination/i_no02.svg,,47,36,img,highschool,1353,
087_a0f707_i_step04.svg,https://eslclub.jp/assets/img/examination/i_step04.svg,,44,55,img,highschool,541,
088_777e84_i_no03.svg,https://eslclub.jp/assets/img/examination/i_no03.svg,,47,36,img,highschool,1589,
089_ba93d8_i_step05.svg,https://eslclub.jp/assets/img/examination/i_step05.svg,,53,56,img,highschool,2947,
090_357d66_i_no04.svg,https://eslclub.jp/assets/img/examination/i_no04.svg,,48,36,img,highschool,1221,
091_79cede_sp_campaign_w.png,https://eslclub.jp/assets/img/examination/sp_campaign_w.png?22080102,バイリンガル講師の個別レッスンが受けられる！,660,134,img,highschool,8170,
092_33f4c2_pc_primary_student01.jpg,https://eslclub.jp/assets/img/examination/pc_primary_student01.jpg?220803,,480,324,img,highschool,37037,
093_0acf8b_sp_primary_student01.jpg,https://eslclub.jp/assets/img/examination/sp_primary_student01.jpg?220803,,670,324,img,highschool,50983,
094_3455ff_pc_primary_student02.jpg,https://eslclub.jp/assets/img/examination/pc_primary_student02.jpg?220803,,480,324,img,highschool,46690,
095_802568_sp_primary_student02.jpg,https://eslclub.jp/assets/img/examination/sp_primary_student02.jpg?220803,,670,324,img,highschool,59296,
096_a0f41f_pc_primary_student03.jpg,https://eslclub.jp/assets/img/examination/pc_primary_student03.jpg?220803,,480,324,img,highschool,50860,
097_d63dd0_sp_primary_student03.jpg,https://eslclub.jp/assets/img/examination/sp_primary_student03.jpg?220803,,670,324,img,highschool,64567,
098_f1f895_pc_primary_student04.jpg,https://eslclub.jp/assets/img/examination/pc_primary_student04.jpg?220803,,480,324,img,highschool,50667,
099_86f870_sp_primary_student04.jpg,https://eslclub.jp/assets/img/examination/sp_primary_student04.jpg?220803,,670,324,img,highschool,67596,
100_7484e4_0.img,https://bat.bing.com/action/0?ti=343112657&Ver=2&mid=78670cfa-5a21-4814-9f04-8ac05e3b4f68&bo=1&sid=b5204f905d5a11f19a6293a34a9469f0&vid=b52037505d5a11f18a552707b1735ea5&vids=0&msclkid=N&pi=0&lg=ja-JP&sw=1440&sh=1000&sc=24&tl=%E5%B0%86%E6%9D%A5%E3%81%AB%E7%B9%8B%E3%81%8C%E3%82%8B%E2%80%9D%E8%8B%B1%E6%A4%9C%E5%90%88%E6%A0%BC%E2%80%9D%E3%82%92%E7%94%9F%E3%81%BF%E5%87%BA%E3%81%99%E8%8B%B1%E8%AA%9E%E5%A1%BE%20%7C%20ESL%20club&p=https%3A%2F%2Feslclub.jp%2Fhighschool%2F&r=&lt=578&evt=pageLoad&sv=2&cdb=AQAQ&rn=956682,,0,0,img,highschool,0,
101_e0a5be_pc_primary_main.png,https://eslclub.jp/assets/img/examination/pc_primary_main.png,,1100,903,background,highschool,285368,
